"id","penguin","island","sex","measurement","size"
1,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",39.1
1,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",18.7
1,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",181
1,"Pygoscelis adeliae","Torgersen","male","body_mass_g",3750
1,"Pygoscelis adeliae","Torgersen","male","year",2007
2,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",39.5
2,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",17.4
2,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",186
2,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3800
2,"Pygoscelis adeliae","Torgersen","female","year",2007
3,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",40.3
3,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",18
3,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",195
3,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3250
3,"Pygoscelis adeliae","Torgersen","female","year",2007
4,"Pygoscelis adeliae","Torgersen",NA,"bill_length_mm",NA
4,"Pygoscelis adeliae","Torgersen",NA,"bill_depth_mm",NA
4,"Pygoscelis adeliae","Torgersen",NA,"flipper_length_mm",NA
4,"Pygoscelis adeliae","Torgersen",NA,"body_mass_g",NA
4,"Pygoscelis adeliae","Torgersen",NA,"year",2007
5,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",36.7
5,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",19.3
5,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",193
5,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3450
5,"Pygoscelis adeliae","Torgersen","female","year",2007
6,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",39.3
6,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",20.6
6,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",190
6,"Pygoscelis adeliae","Torgersen","male","body_mass_g",3650
6,"Pygoscelis adeliae","Torgersen","male","year",2007
7,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",38.9
7,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",17.8
7,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",181
7,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3625
7,"Pygoscelis adeliae","Torgersen","female","year",2007
8,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",39.2
8,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",19.6
8,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",195
8,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4675
8,"Pygoscelis adeliae","Torgersen","male","year",2007
9,"Pygoscelis adeliae","Torgersen",NA,"bill_length_mm",34.1
9,"Pygoscelis adeliae","Torgersen",NA,"bill_depth_mm",18.1
9,"Pygoscelis adeliae","Torgersen",NA,"flipper_length_mm",193
9,"Pygoscelis adeliae","Torgersen",NA,"body_mass_g",3475
9,"Pygoscelis adeliae","Torgersen",NA,"year",2007
10,"Pygoscelis adeliae","Torgersen",NA,"bill_length_mm",42
10,"Pygoscelis adeliae","Torgersen",NA,"bill_depth_mm",20.2
10,"Pygoscelis adeliae","Torgersen",NA,"flipper_length_mm",190
10,"Pygoscelis adeliae","Torgersen",NA,"body_mass_g",4250
10,"Pygoscelis adeliae","Torgersen",NA,"year",2007
11,"Pygoscelis adeliae","Torgersen",NA,"bill_length_mm",37.8
11,"Pygoscelis adeliae","Torgersen",NA,"bill_depth_mm",17.1
11,"Pygoscelis adeliae","Torgersen",NA,"flipper_length_mm",186
11,"Pygoscelis adeliae","Torgersen",NA,"body_mass_g",3300
11,"Pygoscelis adeliae","Torgersen",NA,"year",2007
12,"Pygoscelis adeliae","Torgersen",NA,"bill_length_mm",37.8
12,"Pygoscelis adeliae","Torgersen",NA,"bill_depth_mm",17.3
12,"Pygoscelis adeliae","Torgersen",NA,"flipper_length_mm",180
12,"Pygoscelis adeliae","Torgersen",NA,"body_mass_g",3700
12,"Pygoscelis adeliae","Torgersen",NA,"year",2007
13,"Pygoscelis   adeliae","Torgersen","female","bill_length_mm",41.1
13,"Pygoscelis   adeliae","Torgersen","female","bill_depth_mm",17.6
13,"Pygoscelis   adeliae","Torgersen","female","flipper_length_mm",182
13,"Pygoscelis   adeliae","Torgersen","female","body_mass_g",3200
13,"Pygoscelis   adeliae","Torgersen","female","year",2007
14,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",38.6
14,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",21.2
14,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",191
14,"Pygoscelis adeliae","Torgersen","male","body_mass_g",3800
